sentiment,review_body,product_category
0,This is a nice tunic but i wish it was a bit more structured. the band in the back helps hold it together so it doesn't balloon out but a few more pin tucks would have been nice. i do like the length and style as a alternate to a white button down shirt and it looks super cute with skinny crop pants.,Blouses
0,I've been eyeing this top up in the floral pattern for a while and finally ordered it when i had 15% off. i really don't think it's worth the price and it's not very flattering. i think it would look better on someone less busty - it seemed to accent my bust. it's definitely not my favorite piece and unfortunately i will be returning.,Blouses
0,I love the style of this top. i just wish there were a slimmer version of it. unfortunately  this top doesn't suit my long  slim midsection. it is so wide  it completely hides the waist. i think it would look adorable on a different body type.,Blouses
1,I had to go up one size  but i love this blouse! dressy enough for work  and you can make it casual with jeans. tight across the chest  but the next size up fit perfect!,Blouses
1,I'm an xl in retailer tops  and to be frank sometimes some of the xl are too fitted and i return them. i bought this blouse in size large and it fits loose everywhere. it drapes very nicely in the front and back  and the arms fit loose. i'm making a point to say this to let people know to size down.   -  i was concerned this blouse might be too short because it looks very short on the model  but for me it hits at a nice length; i have a short waist and am busty. the lace doesn't hit my neck,Blouses
1,Great top but it runs smaller than other tops in this brand. the chest and arm area is small. otherwise this top is great. just plan to size up one or two sizes. length was nice. hit right at the waist.,Blouses
1,I am on the fence with this one.......the black lace on the bottom is beautiful and pairs so well with my black velvet gladiator sandals..... but it came very wrinkled  and the fabric almost feels more like a cheap cotton. i am always in between a sm and med  so tried the small. the shoulders do want to slide up a bit. arms need to be down.  it is very voluminous......and falls below my bottom. would make a pretty maternity top!! the idea of it overall is pretty  but not sure i want all the volu,Blouses
1,Tiny collar and short bodice length. lovely fabric  soft and silky.,Blouses
1,Received this top as a gift from a friend with great taste. found fabric to have high quality feel and texture and it fit quite well. love how the flutter layer creates a different look.,Blouses
1,I ordered this shirt with some trepidation after reading the one-star reviews. i was  however  pleasantly surprised when the shirt arrived and i put it on. i agree the sleeves are a bit on the slim side  noticeable mostly because the fabric doesn't have any give. the shirt fabric itself is both billowy and substantial and the embroidery work gives the shirt an expensive (because it is) and unique look. the shirt body is not as slim cut as it appears in the pictures; the darts open out to a much,Blouses
1,This top is so pretty and the fabric is really soft...but  it does fit a little bit small in the bust. i am not extremely large busted but the buttons gap open just a little and it's tight across my back. otherwise  i love this top and the colors are really  really nice.,Blouses
1,Chambray top that is soft  but thick/heavy so it drapes well and is very flattering on. untucked  the top is shorter in the front and longer in the back. it hangs like a tunic  almost a-line so do not size up or you will have too much material. i am a sz small in most retailer clothing  and the sz 2 fit nicely. sz 4 was too loose around my arms  and the sz 0 was too tight around my chest. nice neckline and a pop of surprise with the gorgeous lace detail in the back.,Blouses
-1,I own many retailer dresses but the sizing can be odd. i usually wear a size 4-6 and i have a floreat maxi dress size 4 that works well. i am 34c and based on the reviews i decided to order a size 6. the dress fits well except for he bust area that is very snug/couldn't even get the zipper up. i will probably have to order a size 10 to be able to close the zipper on the bust area but it will be huge everywhere else.the fabric seems very delicate and may develop runs easily. it's a shame because th,Dresses
-1,This dress would have been gorgeous and consistent with retailer's aesthetic if the designs had been embroidered onto a thick silk/jacquard fabric to give it texture  which is how it looks from the photo. obviously it would have been more expensive  but in any case  this was just a really expensive polyester dress  which it says in the product description  but i gave retailer the benefit of the doubt  thinking if anyone can make even polyester look like a quality product  it'll be retailer. but now i,Dresses
-1,This dress is thin and completely see through. it is definitely not worth the price tag. would be really cute in a thicker material.,Dresses
-1,I really loved the idea of this dress and thought it may be perfect for work with a pair of wedges. but  the first thing that set me off was the color and the material. the color is more street sign yellow than a soft  warm yellow. the fabric is a thin  sheet like fabric that makes the yellow look even cheaper. i was anticipating a thicker shirt-like fabric. when i tried it on  i liked the idea  but the material and the color made me feel like i was wearing costume...or a parachute. i will defin,Dresses
-1,This reminded me of big bird in person and just adds volume to your body. i'm thin and usually wear a size 0  so i'm not sure who this may look good on.,Dresses
-1,I loved the color and design of this dress but needed to return it because it fit so poorly. the arm holes are entirely too big -- so big that alternations couldn't fix it. maybe it's because i am petite but i think it may be a design flaw.,Dresses
-1,I'm 5'4  115 and the xs swallowed me like a snuggie. i suppose the tons of fabric might drape nicely if you're 5'8 and above? it drooped and hung comically large from every angle under arm  body and skirt. a belt was no match for that much fabric. the colors are gorgeous and it appeared well made  but the design was awful.,Dresses
-1,I finally found this dress in store today and wow! i cannot believe this cheap looking dress is from ms! they have been among the top at retailer and this unlined  baggy  cheap velvet sub is a shock! what happened? only the color is nice. please get back to yourself ms!,Dresses
-1,I had high hopes for this dress but my husband said i looked pregnant and that i was wearing a tablecloth- and he was right! i'm usually a size 10 so perhaps this would look good on a talk lanky person with a very long torso... but probably not. way too much fabric around the midsection. it's a shame because the fabric was really pretty  but too stiff a hand to drape well.,Dresses
0,I wanted to love this dress so badly. it came and the material is beautiful  but when i put it on it fit so awkwardly. there was just no way to make it look good. maybe i needed a smaller size  but oh well.,Dresses
0,I wanted to love this so much! i am 5'8 and normally do a size large in retailer  but based on the previous review i sized down. the top fit fine  but the bottom just sort of poofed out. not flattering. it does have pockets which are amazing  but overall  just wasn't a good fit. the top is t-shirt material  not denim.,Dresses
0,I couldn't believe how fast this dress sold out when they were having the fall promotion; they had just put it on the website and it sold out in my size in a matter of hours!  i just received the dress today and really like the practicality of it.  you can easily dress it up or down and it still looks sheek either way.  what i didn't like about the dress was that the material is a little flimsy compared to how it looks in the picture.  i am on the fence regarding if i will keep it.,Dresses
0,This is a beautiful dress except i expected it to be more flowy. the fabric is much more stuff than i thought it would be.,Dresses
0,I tried this on in the store - i tried regular medium which was way too big except in the chest where it was really tight. the material was a little itchy on me (but maybe its because the chest was tight). the color is lovely (pink). im sure someone will love it but if you are petite  i would order the petite and maybe size up if you are busty.,Dresses
0,So i haven't actually tried this and i'm sorry for the misleading star rating. i just wanted to get someone's attention on the length. the photos show the dress draping with almost a train even with the model in platform heels but in the video  the dress is about 2 inches off the floor. is it the model in the video that is extra tall? someone help me out. this looks gorgeous but since it's an online exclusive  i won't be able to try it on at the store.,Dresses
0,I ordered this dress in my usual size and unfortunately when it arrived  it was damaged and also a little too big. the fabric had lots of pulls in it like it had been tried on many times.  i called customer service and requested a replacement in a smaller size. it fit great and looked beautiful but there was a rip in the sleeve.  this is a gorgeous dress and very flattering and well fitting (if you size down)  but i had to return both and wear something else to a holiday party.  i'd only recomme,Dresses
0,Very high quality dress. there are two layers  (the under navy and over white crochet) which makes this worth the price. however it is very straight  making the dress fit like a bag if you have hips or boobs. tried petite and regular and both were too baggy even in xs.,Dresses
0,I found the dot print in the store and though the pattern was cute  but when i tried it on i just had to wonder - who actually looks good in this style? it fits like a sack  big and puffy in the middle but tapered at the hem. it creates the exact opposite on an hourglass shape. genuinely puzzled that anyone would look good in this style. to bad  i hope they use these cute colors and prints on a style with some waist-definition next time.,Dresses
1,"This dress fits well and is comfortable. my only reflection is that i am 5'9"" and it hits at my mid shin  rather than where it appears on the model.",Dresses
1,5'6 149lbs 34d normally size 6    i picked this up on a whim to try on and i am glad i did. it is very flattering on my curvy frame. it does run a big big so i sized down to a 4 instead of my normal size 6. the top is still a tad bit big as another commented- not enough that i would need to have it altered but enough that i probably wouldn't wear it to work without a cami under it. over all i love this dress. its very flattering and flirty and it makes me feel pretty! i bought the orange motif,Dresses
1,I love this dress's gentle blue lace. the silhouette is just as seen in the pictures. i found the dress tight in the chest and had to size up one size (6 to 8).,Dresses
1,"I love that retailerpolgie has petite sizes now. i am 5'4"" and 115lbs. i bought the 0p and it fits perfectly. the dress is very cute and the colors are a way to transition into fall when its still warm out.",Dresses
1,"I love this dress. be warned that even at 5'4"" it is right on the edge of the shortest length that i can get away with wearing. i probably will not wear it to church but for a special event  dinner  or the theater it will be an eye catching statement piece without being over the top. it has a quiet appeal. both layers of fabric are thin but that helps it to conform to my figure without hugging it. it softly drapes showing an hourglass while being extremely comfortable. i think some reviewers int",Dresses
1,I really like this dress! i wasn't sure what to expect when i ordered it  but was pleasantly surprised when it arrived. it fits well and it's very cute and different.,Dresses
1,I bought this to wear to my winter bridal shower. it was a cold day so i turned it into a jumper by pairing it with a silk blouse. it is flattering and comfortable. great for work and other semi-formal events.,Dresses
1,"This dress is quite the stunner! i love the mix of patterns and the asymmetrical hem. four stars in quality  though  as it could have a bit of pure cotton in the fabric composition  as opposed to rayon + viscose only. still  a versatile dress  for day or night. i love the length of the petite size (please note i'm 5' 4"") the shortest part of the hem hits right at the knees. a keeper.",Dresses
1,"I ordered a size xl in the mango. the fit on me matches the model for the most part so i think it's true-to-size. it looks like it's intended to have a loose  flowier fit throughout the dress. the only confusing part to me is the model is listed as being 5' 9"" and i'm under 5' 6"" yet the length is the same. it fits me at knee-length too. i thought it would hit a little longer based on the model's info for the photos and getting the regular sizing. the one thing i wish was different is to have it",Dresses
-1,Loved the color and the deshn. but when i put on  did not look right. waist was too short and the arms were long.,Fine gauge
-1,Had to return this for a couple of reasons: 1) was too small! it's made like one of those tiny mittens that stretches to fit any size hand. i didn't bother to order a size up because i wasn't sure whether to go from a small to a medium or to a large. 2) the main color isn't grey  like the picture. it's a black and white checkered pattern. so  it doesn't look at all grey irl.    i'm still recommending because  if you get the right size  and like the colors  it will be a nice  light and comfy swea,Fine gauge
-1,And not in a good way. everywhere i went  i left a little of this sweater behind. within hours of having it on  i was picking balls of fabric off the couch  bed  and the sweater itself looked like it was molting. great style  fabric and fit (although a little on the long side ) but there's no way i can keep it.,Fine gauge
-1,A beautiful shawl but not practical. i was impressed with how elegant/romantic it first felt/looked.  however  after 5 minutes of wear  it would not stay on my shoulders. the design is very awkward and despite several attempts with different tops/tanks underneath  i kept running into the same problem. lovely for the first 5 minutes of wear and then awkwardly/annoyingly wouldn't stay on my shoulders. the neckline is undefined and it just fell off. not a great design. disappointedly returned it.,Fine gauge
-1,"I had high hopes for this sweater and when i found it on sale online  i jumped at the opportunity. i am 5'11""  slender and always wear a small in retailer tops. i purchased this in the mint   size small and as soon as i opened the bag  i had doubts. the fabric is terrible  thin and scratchy. it is not soft and supple as i had imagined. the mint color looks faded and the shape is awful. the length of the arms hits in a bizarre spot  the overall length of the sweater cuts me off at the torso and the",Fine gauge
-1,It's thin knit with a unique and pretty neckline  but unfortunately it's scratchy will not last. i just received it and it looks like it would fall apart after a few wears. it's a nice shade of offwhite at least. for me it's a no that will get sent back straight away.,Fine gauge
-1,The fit was not flattering at all  but the worst part was the colors were really dull and not bright as shown in the online photos.,Fine gauge
-1,How cute was this little sweater and comfortable even in the south .... until i washed it! i followed the instructions on the label being careful not to wring it out. first of all  the smell was unbelievable! i washed it three days ago and it is still wet and damp and on top of that  it shrunk. even though i handwashed it  line dried it and pampered it to no end!,Fine gauge
-1,This sweater did not flatter a sz 12 with 36d chest. it's very well made but not for the curvy girl. this is my very first review and felt compelled to share my thoughts since i heavily rely on others' reviews before i purchase.,Fine gauge
0,Honestly  the sweater is really beautiful...i usually buy a small in retailer tops  and this seemed to run on the smaller side. it&#39;s pretty short  but the issue i have is that the sleeves are much shorter in person than on the models in the pictures. it looks like i&#39;m wearing a 3/4 sleeve shirt. still deciding if i&#39;m going to keep it  because it is really a lovely top.,Fine gauge
0,I want to like this sweater. the color is lovely  more of a grayish blue  and the design is nice. the quality is amazingly good  as it's thick without being too thick and very soft. but the design is odd and quite unflattering! i got the xsmall but it's two big. the sleeves have a very low shoulder so they almost have a wing like look. it doesn't look like it does on this model. the waist area is a lot bigger  so it does sit on your hips  however the sweater isn't slimming cause of the odd shape,Fine gauge
0,On the picture shows the belt.doesn't come with the belt.,Fine gauge
0,Loved the look  quality was great  but didn't work for me. too busy and off-fitting. i did return.,Fine gauge
0,A few things: this runs very large. i'm usually a s/m (i'm a little busty so i sometimes size up!) and i'll definitely need an xs in this  i'm swimming in the small. the blue is definitely a steel blue/grey  not really navy. the material is very thin - i thought it would be a bit more substantial. it's very lightweight. that said  it's very pretty  i love the neckline which can be worn as a cowl neck or off the shoulder  and i'll give the xs a shot instead!,Fine gauge
0,"Tried this on in the ""onsie"" area of retailer store. i usually am between a medium and a large. the medium fit fine. the material in this top is substantial - very thick and soft but it is very thick as a warning. more for a pretty cool spring evening vs the heat of the summer in chicago. not sure how much the material would stretch out either. as it seems like it could be the type. also  it is dry clean only  and on such a casual top  that is a real deal killer for me.     regarding the style of",Fine gauge
0,I put a lot of hopes on this pullover. i needed something for the spring  and it seemed perfect. plus  the sale price is very attractive compared to the regular retailer prices. but... i am not exactly disappointed  but i'd say surprised.     i would still consider this sweater good for spring. it's thin enough to be tucked into a skirt or pants if you like. the pullover is very stretchy - frankly  i would prefer it to be less stretchy  but that might be a plus for someone more busty. the quality,Fine gauge
0,I ordered the pink  and it was gorgeous. the color and feel were so soft  i would have kept it if it were a blanket. but i did send it back because as a sweater  it just didn't lay right. it has a sort of inside layer that just didn't fit right with the outside sweater layer  so it ended up puffing up on the sides at the waist. that was not flattering. and the hood was too large and floppy looking. too bad.,Fine gauge
0,I bought this sweater in dark grey in the store. i really loved it at first - it's very soft and cozy and fits really well. i especially like that it's long enough to cover my tummy and butt when i wear skinny jeans or leggings. however  the other reviews that mention it gets fuzz all over the place are accurate. i doubt i would have bought this if i had read them first. it even has dark grey fuzz in the inside of the sleeves. however  my biggest disappointment is that after just one wearing  th,Fine gauge
1,I just got this in and i love it! it's happy  super soft  and will be perfect for the fall season in new orleans  since it's not too light but also not heavy. i see myself wearing this often!,Fine gauge
1,Love this sweater!  lightweight  comfy and does run large.   i usually wear a size 12 or l/xl in sweaters cause i don&#39;t like them to fit tight.  i read reviews and ordered a medium and it&#39;s perfect!  can&#39;t go wrong!  i ordered the red  but am now thinking of ordering the grey one!,Fine gauge
1,This picture does not due this sweater justice  at all! i purchased this today for summer. it's beyond cute and the colors are awesome! it's a very light sweater with a fitted (but not too tight) light feel. the sleeves are a little longer than quarter length  at least on me. it looks amazing with white pants  very fresh!!,Fine gauge
1,I purchased this sweater in black to dress up my everyday cardigan. this is very soft and can dress up a skirt or great with jeans.,Fine gauge
1,What can i say? it's like wearing a hug. it's so wonderful i have a hard time taking it off at the end of the day! it's extraordinarily soft and thick  and stylish to boot! the one thing is that the thread holding the pockets together was already coming unraveled when i took it out of the package  and i had to sew them back on right away  as they were starting to come completely apart. a small price to pay for being a new owner of the best thing ever.,Fine gauge
1,Very pretty and a nice fit. lighter weight than i expected at this price but as long as it holds up i'll be happy.,Fine gauge
1,I absolutely love this dress. the quality is perfection. the design is adorable and it is comfortable! i paired it with leggings and short boots and worked 10 hours in it. and i worked a large event so i wansup moving things and active almost the entire time. it was the perfect combination of dressing up for work yet being fully functional! oh and the neck line ads that extra touch of style that makes it a great piece. love this! it is also true to size. i have a medium.,Fine gauge
1,"This versatile tunic is a mini dress on me (5'3"" 36dd) when i wear size l and warm sweater when i wear size m. i love the boxy yet flattering cut  the cute neckline and the warm smooth knit fabric. wish i had gotten my hands on the cream colorway!",Fine gauge
1,This was my favorite piece in my order. it fit so well that i immediately went online to see if they had other colors. they don't. i voice the other reviewers opinion: get more colors in of this style. i would order in a heartbeat. i plan on wearing this to work (it's freezing in my office) but it is versatile enough to pair with jeans for a casual look. the material was soft  woven tightly (a good thing) and well made. good one retailer! definitely a keeper.,Fine gauge
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
1,This bra is the one. i have been searching high and low to replace my worn out comfy bra  and this is it. if you are looking for a wireless bra with thin straps that can peek out from your shirt and not announce themselves as hello bra straps  a v-neck cut (none of that scoop cut nonsense)  and you don't care about trying to boost your cleavage  this bra has it all. so comfy too.,Intimates
1,I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear. this is a light weight bra  could be a little more supportive. pretty color  with nice lines. only downside is the retailer tag on the back - itchy (i need to remove it.),Intimates
1,I got these pretty boy shorts because i was looking for a panty that was comfy for bedtime--pretty but with a fair amount of coverage. i am really happy with them. wonderful with a tank top or chemise. i think the ruffles are a bit bulky for skinny jeans  but i love them for sleeping. they feel special.,Intimates
1,This tank is perfect. it fits close to the body  but does not squeeze. it is super soft  smooth  and comfy. it layers perfectly under blouses. this is by far my favorite basic tank!,Intimates
1,This is different from any bra i've had before  in a good way. the lace over the front is really beautiful  and no annoying straps means it's comfortable! fit and support are both great. i didn't notice that it was silk when i ordered  so it was a nice surprise to open something so luxe and elegant. i wasn't expecting an underwire  either  based on the s-m-l sizing  but it has one.,Intimates
1,I ordered this bra in my normal size 32d  and it fits me perfectly. this bra is beautiful. the material seems to be very high quality  and the comfort of this bra is amazing. it's definitely a keeper.,Intimates
1,"This is a great layering piece. got in orange color and it is really a beautiful shade. i am 5'3"" 36dd and went with a m. very flowy  nice length (more on the short side)  and not see through. i am able to wear without a bra  where the ruffles cover any possible chance of seeing anything ;). i have a black came from another brand and have literally worn it to pieces. goes well under a jacket for work  a kimono  wrap  denim jacket  just anything! i was a bit disappointed it is ""dry clean only""  h",Intimates
1,These are great  the colors are a little different in real life. they are really great but i think they are a bit delicate and i hope they hold up.,Intimates
1,Cute little sleep mask! the elastic band is wide so it doesn't ever feel like it's digging into your head. does a very good job keeping out light.,Intimates
-1,While this is cozy and well made  the problem lies with the unavoidable exposure of the inside of the poncho  which looks unfinished. had the inside been lined or had the hue of the stripes continued through the material  the draped look of this piece would be gorgeous. unfortunately  the faded backside of the pattern (a glimpse of it under model's left hand)  viewable through the very large arm holes (and impossible to hide)  disrupts the effortless  fluid feel that a poncho should have. i was,Jackets
-1,"Runs extremely large. i got an xs and am 5'4"" 115lbs and this would have fit someone who typically wears a size 10-14 and is 5'6"" and above. very disappointed with the size. the quality of the fabric wasn't great either. i wanted it to work so bad but just didn't!",Jackets
-1,This jacket has cute details. i like the front pockets and color. it has no shape and is about 1 size bigger than marked. i felt like a sack of potatoes in it.,Jackets
-1,This jacket looks like such the statement piece online with the soft focus lens  but in reality...meh. i think the pattern is gorgeous and would have worked without the studs. and the studs are unique and would have worked on a simple solid color. but put them together and you have the unwanted love child of a laura ashley bag and a marching band jacket. to me  it all felt more cloying than clever.    the quilted fabric and boxy cut of the jacket also makes it unwieldy and uncomfortable. since i,Jackets
-1,I feel in love with this piece. the color are gorgeous and i received so many compliments. it lifted my mood just wearing it! sadly  ut the end of the first wear i had a run up the front and by the middle of the second wear the light fabric got caught on something and a hole developed. upon further inspection i found another hole at the top where the price tag must have been attached. i also noticed all over pilling after the first wear! so sad! they should recreate this in a heavy fabric.,Jackets
-1,This sweater/jacket looks just like the photo in real life  but the inside is so scratchy. i physically recoiled when trying it on as the interior of the sleeves feels like sandpaper. unlined and uncomfortable. no thank you!  should you choose to proceed  i found the fit tts. i'm 5'8  wear an 8/10 and the medium worked for me.,Jackets
-1,I built a new wardrobe around the three lovely velvet blazers: moss  copper and burgundy. they are soft  well-fitting  pretty linings and very satisfactory. this new version is stiff material  and ill-fitting. not coming in petite is a problem and it may fit others better  but it is too full across the front. with the stiff materials  this is a bad fit. disappointing and going back.,Jackets
-1,I usually like coats and wraps with high-waisted belts  but this way too high  and the fit was really unflattering. i can see it being chic on a tall  slender person  but it's definitely not right for my short  curvy body. returning it today.,Jackets
-1,The color is darker than shown (i ordered the denim looking one). the flower things are not very visible as it all looks one color. it must be great for the tall skinny model   but if your 5'4'' and pear shaped like me  it's a no go! took it back to my local store.,Jackets
0,I had such high hopes for this jacket based on the photo  i even waited for it to come back in stock. the detail is beautiful but it is shapeless and boxy. for reference i ordered xs  and i am usually a 0/2 on top (small chested). it might look better on someone with a larger chest but looked like a sack on me. so disappointing.,Jackets
0,"How can some reviewers say this jacket is true to size  yet others say it runs small? i think it's because this jacket is cropped. by the time i took advantage of the fall perks 20 percent discount  the xs peach was sold out so i ended up ordering size s. i also got the xs gray to compare. sure enough  the xs looks better but is cropped on me. for ref  i'm 5' 5""  32a  115 lbs. i don't really need another almost black jacket so i'm either sized out or have to exchange for xs peach to wear with dr",Jackets
0,"Tried the navy in store. boy does it run big! i'm normally a size 6 / small (ish). 5'6""  34a-28-36. the xs was still quite boxy on me while the sleeves were well fitted. i understand this is the style and i like the design with the different sleeves. it was a no buy as the main fabric was already pilling in store and looked a bit cheap - sorry!",Jackets
0,If you have any curves at all then this will look like a sack on you. i wanted to love it because of the material and i've been looking for a blazer/ jacket that was heavy in weight. this just looked awful on me. maybe for someone who is very slender this will work but i was highly disappointed in the cut.,Jackets
0,I was excited to see this offered by retailer because i have been looking for a light blue summer jacket or blazer that isn't a denim jacket and this seemed to fit the bill. i've ordered several cartonnier blazers in 00p  as early as 2013 and as late as spring 2015  and have been very happy with them. on the plus side i would say that the color is depicted accurately and it does seem like a high quality jacket. but while the shoulders and sleeves were a pretty standard fit for 00p  it was much too,Jackets
0,"I agree with a previous reviewer who said that it was very nicely cut  but unfortunately  the materials are so cheap. the ""fleece"" material that it is made out of feels like the cheap polyester fleece blankets that you get at the discount stores. it will pill easily  and is noticeable even in the dark color. i must have gotten one shipped straight from the store  and it was already starting to do some gnarly pilling. i do love the cut of it  but i can't justify keeping it because this won't last",Jackets
0,It is indeed cut to the shape of a trench. however  i think retailer should rename it as it's more like wearing a cardigan. it's soft and pretty which i like. however  i wasn't convinced to buy it since i have a gazillion long black cardigans already made out of the same jersey stretch material.,Jackets
0,"This is a beautiful lined jacket  with a much more structured fit than a typical kimono. it hit me at the high hip  not low hip as shown on the model. given how structured it is  i don't think the ""one size"" will work for anyone larger than a small if you want a drapey kimono fit.",Jackets
